,fips,EP_Percent2020,MP_Percent2020,BP_Percent2020,Cath_Percent2020,Orth_Percent2020,Other_Percent2020,Islam_Percent2020,Jewish_Percent2020,Hindu_Percent2020,Budd_Percent2020,4_clusters,5_clusters,6_clusters,7_clusters,8_clusters
1951,37107,36.15,7.54,5.48,2.46,0.0,2.59,0.0,0.0,0.0,0.0,EP,EP-Less,EP-Less,EP-Less,EP-Least
1952,37109,26.51,14.97,1.12,7.4,0.0,1.22,0.0,0.0,0.0,0.0,Pluralistic,EP-Less,EP-Less,EP-Less,EP-Least
1953,37111,32.52,5.35,1.29,4.37,0.0,1.78,0.0,0.0,0.0,0.0,EP,EP-Less,EP-Less,EP-Less,EP-Least
1954,37113,37.57,9.6,0.41,5.74,0.0,2.34,0.0,0.0,0.0,0.0,EP,EP-Less,EP-Less,EP-Less,EP-Least
1955,37115,41.62,2.89,0.71,2.85,0.0,0.88,0.0,0.0,1.0,0.0,EP,EP-Less,EP-Less,EP-Less,EP-Less
1956,37117,26.97,3.55,4.03,1.59,0.0,1.28,0.0,0.0,0.0,0.0,Pluralistic,EP-Less,EP-Less,EP-Less,EP-Least
1957,37119,24.9,11.06,2.95,15.53,0.84,2.33,2.87,0.42,0.4,0.29,Pluralistic,EP-Less,EP-Less,EP-Less,EP-Least
1958,37121,60.63,5.67,4.7,4.44,0.0,0.01,0.0,0.0,0.0,0.0,EP,EP-High,EP-High,EP-High,EP-High
1959,37123,24.3,10.25,8.949999999999998,12.88,0.0,0.74,0.0,0.0,0.0,0.0,Pluralistic,EP-Less,EP-Less,EP-Less,EP-Least
1960,37125,20.15,11.17,3.66,12.84,0.0,2.11,0.0,0.23,0.0,0.0,Pluralistic,Pluralistic,Pluralistic,Pluralistic,Pluralistic
1961,37127,38.51,8.82,3.13,0.97,0.0,0.81,0.96,0.0,0.0,0.0,EP,EP-Less,EP-Less,EP-Less,EP-Less
1962,37129,18.35,10.22,4.47,14.23,0.35,2.05,0.9,0.37,0.0,0.0,Pluralistic,Pluralistic,Pluralistic,Pluralistic,Pluralistic
1963,37131,18.04,7.75,29.6,0.0,0.17,2.91,0.0,0.0,0.0,0.0,Pluralistic,EP-Less,EP-Less,EP-Less,EP-Least
1964,37133,19.33,4.08,2.41,7.21,0.0,1.22,0.89,0.0,0.0,0.0,Pluralistic,Pluralistic,Pluralistic,Pluralistic,Pluralistic
1965,37135,10.43,13.12,3.97,17.31,0.3,2.7,1.2,0.38,0.32,0.17,Pluralistic,Pluralistic,Pluralistic,Cath-Less,Cath-Less
1966,37137,13.91,14.77,12.72,1.63,0.0,0.0,0.0,0.0,0.0,0.0,Pluralistic,Pluralistic,Pluralistic,Pluralistic,Pluralistic
1967,37139,24.29,6.41,9.47,5.02,0.0,2.73,0.0,0.0,0.0,0.0,Pluralistic,EP-Less,EP-Less,EP-Less,EP-Least
1968,37141,16.39,6.06,4.97,9.32,0.0,2.9,0.0,0.0,0.29,0.0,Pluralistic,Pluralistic,Pluralistic,Pluralistic,Pluralistic
1969,37143,19.59,9.57,13.04,0.0,0.0,1.26,0.0,0.0,0.0,0.0,Pluralistic,EP-Less,EP-Less,Pluralistic,EP-Least
1970,37145,26.8,9.25,5.06,4.2,0.0,1.68,0.0,0.0,0.0,0.0,Pluralistic,EP-Less,EP-Less,EP-Less,EP-Least
1971,37147,16.12,9.91,2.78,6.36,0.04,2.04,0.54,0.17,0.15,0.01,Pluralistic,Pluralistic,Pluralistic,Pluralistic,Pluralistic
1972,37149,25.19,8.65,4.99,10.02,0.0,1.48,0.0,0.0,0.0,0.0,Pluralistic,EP-Less,EP-Less,EP-Less,EP-Least
1973,37151,26.8,9.92,0.72,8.25,0.0,1.44,0.19,0.0,0.0,0.0,Pluralistic,EP-Less,EP-Less,EP-Less,EP-Least
1974,37153,42.19,13.01,7.36,4.66,0.0,1.43,0.0,0.0,0.0,0.0,EP,EP-Less,EP-Less,EP-Less,EP-Less
1975,37155,32.29,7.34,4.39,1.86,0.0,2.24,0.13,0.0,0.0,0.0,EP,EP-Less,EP-Less,EP-Less,EP-Least
1976,37157,26.88,7.65,6.12,5.02,0.0,1.13,1.76,0.0,0.0,0.0,Pluralistic,EP-Less,EP-Less,EP-Less,EP-Least
1977,37159,24.35,11.44,2.89,7.21,0.04,1.56,0.0,0.0,0.0,0.0,Pluralistic,EP-Less,EP-Less,EP-Less,EP-Least
1978,37161,52.83,7.81,3.86,3.77,0.0,1.52,0.0,0.0,0.0,0.0,EP,EP-High,EP-High,EP-High,EP-Less
1979,37163,48.25,6.21,7.96,5.99,0.0,1.02,0.0,0.0,0.0,0.0,EP,EP-High,EP-High,EP-High,EP-Less
1980,37165,13.62,9.43,10.71,1.31,0.0,1.78,0.0,0.0,0.0,0.0,Pluralistic,Pluralistic,Pluralistic,Pluralistic,Pluralistic
